,Year_Id,Rank,Mojo_Name,World_Wide_Sales,Domestic_Sales,Foriegn_Sales,Movie,Genre,Release_Year,IMDB_Rating,Rated
0,2,2,The Hobbit: The Battle of the Five Armies,956020000.0,255120000.0,700900000.0,The Hobbit: The Battle of the Five Armies,"Adventure, Fantasy",2014,7.4,PG-13
1,3,3,Guardians of the Galaxy,772777000.0,333177000.0,439600000.0,Guardians of the Galaxy,"Action, Adventure, Comedy",2014,8.0,PG-13
2,6,6,X-Men: Days of Future Past,746046000.0,233922000.0,512124000.0,X-Men: Days of Future Past,"Action, Adventure, Sci-Fi",2014,8.0,PG-13
3,7,7,Captain America: The Winter Soldier,714422000.0,259767000.0,454655000.0,Captain America: The Winter Soldier,"Action, Adventure, Sci-Fi",2014,7.7,PG-13
4,8,8,Dawn of the Planet of the Apes,710645000.0,208546000.0,502099000.0,Dawn of the Planet of the Apes,"Action, Adventure, Drama",2014,7.6,PG-13
5,9,9,The Amazing Spider-Man 2,708982000.0,202854000.0,506128000.0,The Amazing Spider-Man 2,"Action, Adventure, Sci-Fi",2014,6.6,PG-13
6,10,10,Interstellar,677464000.0,188020000.0,489444000.0,Interstellar,"Adventure, Drama, Sci-Fi",2014,8.6,PG-13
7,11,11,Big Hero 6,657828000.0,222528000.0,435300000.0,Big Hero 6,"Animation, Action, Adventure",2014,7.8,PG
8,12,12,How to Train Your Dragon 2,621538000.0,177003000.0,444535000.0,How to Train Your Dragon 2,"Animation, Action, Adventure",2014,7.8,PG
9,13,13,American Sniper,547426000.0,350126000.0,197300000.0,American Sniper,"Action, Biography, Drama",2014,7.3,R
10,14,14,Godzilla,524976000.0,200676000.0,324300000.0,Godzilla,"Action, Adventure, Sci-Fi",2014,6.4,PG-13
11,17,17,The Lego Movie,468061000.0,257761000.0,210300000.0,The Lego Movie,"Animation, Action, Adventure",2014,7.8,PG
12,20,20,Edge of Tomorrow,370541000.0,100206000.0,270335000.0,Edge of Tomorrow,"Action, Sci-Fi",2014,7.9,PG-13
13,21,21,Gone Girl,369330000.0,167767000.0,201563000.0,Gone Girl,"Drama, Mystery, Thriller",2014,8.1,R
14,23,23,Noah,359200000.0,101200000.0,258000000.0,Noah,"Action, Adventure, Drama",2014,5.8,PG-13
15,36,36,The Imitation Game,233556000.0,91125700.0,142430000.0,The Imitation Game,"Biography, Drama, Thriller",2014,8.0,PG-13
16,41,41,Fury,211818000.0,85817900.0,126000000.0,Fury,"Action, Drama, War",2014,7.6,R
17,44,44,The Equalizer,192331000.0,101531000.0,90800000.0,The Equalizer,"Action, Crime, Thriller",2014,7.2,R
18,46,46,The Grand Budapest Hotel,172937000.0,59301300.0,113636000.0,The Grand Budapest Hotel,"Adventure, Comedy, Crime",2014,8.1,R
19,49,49,Unbroken,161459000.0,115638000.0,45821400.0,Unbroken,"Biography, Drama, Sport",0,7.2,PG-13
20,50,50,The Monuments Men,154984000.0,78031600.0,76952400.0,The Monuments Men,"Comedy, Drama, History",2014,6.1,PG-13
21,59,59,The Theory of Everything,123727000.0,35893500.0,87833200.0,The Theory of Everything,"Biography, Drama, Romance",2014,7.7,PG-13
22,65,65,The Boxtrolls,108256000.0,50837300.0,57418500.0,The Boxtrolls,"Animation, Adventure, Comedy",2014,6.8,PG
