Domestic_Sales,IMBD_Rating
183638000,8
180202000,7.3
101200000,5.8
93436300,6.4
47365300,6.8
57005600,6.3
66184100,5.7
200676000,6.4
44898400,5.2
93432700,6.9
51342000,7.1
350126000,7.3
28848700,4.7
110826000,7
128351000,5.2
72527300,7.2
34694,6.3
78747600,5.6
75468600,6.9
5749130,7
101531000,7.2
61433500,7.1
NULL,4.3
92054200,8
226277000,8.1
85817900,7.6
26830100,5.5
51687900,6.7
100206000,7.9
33700200,5.3
16029700,5.2
59301300,8.1
115172000,6.2
40891600,7.8
17484,7.2
42004300,6.7
87242800,6.7
44307200,5.6
50187600,6.8
228434000,8
77041400,6.2
222528000,7.8
175750000,7.3
50837300,6.8
209726000,8.4
3740820,7.5
43034500,7.1
70259900,7.8
14482000,7
37880400,7.1
52076900,7.5
47047000,6.8
35893500,7.7
115638000,7.2
91125700,8
13406900,7.1
1508590,5.9
81476400,6.3
90411500,6
8110980,6.7
22105600,5.2
42340600,7.7
42725500,6.1
78031600,6.1
645186,7
110213000,6.2
17501200,5.5
965481,6.9
150357000,6.2
43047400,6.4
6563600,5.5
184296000,6.4
120635000,6.7
46009700,6
47119400,7.4
195792,6.5
170113,6.8
54117400,7.8
33681000,6
5728,4.8
252676,4.3
12639300,6.3
1538900,7.7
111376,7.2
2800870,8.1
23591000,5.9
25352300,7.9
201151000,6.9
211593000,6.7
513447,7.1
1596370,6.8
72313800,7.6
491910,7
67268800,6.3
188024000,7.5
55124000,6.3
13092000,8.5
215289000,7.7
1036740,6.5
25443000,7.7
167767000,8.1
27054,7.2
100015000,7
166167000,4.1
67743,6
23022300,6.3
109768000,7.6
55708,6.1
1076080,7.1
3600010,7.4
1359,5.8
3000340,5.3
25801600,5.2
52218600,6.1
74262000,6.4
47425100,4.9
